,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
93509,64454.0,1.15133426628484,-0.775290203227132,0.217952398911433,-0.561325109361482,-1.12635047290336,-0.895221953500572,-0.275062253194963,-0.184617253395548,-1.23184660921618,0.817578367985667,1.3912696771391,0.623025077188478,0.260984824694204,0.371436374674965,0.135745920743106,-1.18360642988523,-0.192779990275315,1.31315818015236,-0.579007786691791,-0.260729658149801,-0.259640638718775,-0.525928560545568,-0.0325293477697896,0.585169165215849,0.183214961206533,0.998883192106894,-0.0880234402699461,0.0145478888321226,109.95,0
12724,22308.0,-4.33309636842433,6.01447730801453,-4.47727818427103,0.551706840675215,0.0109582964560536,-1.92593017036655,0.349347060130029,0.291680271460489,4.82064537705063,4.94613610077602,1.73081866830744,-2.43055228254214,2.57873673839457,-3.54166734117426,0.546889023115321,0.551803074624081,3.29883145538099,1.52153145609505,-1.11544668761098,2.92876507209618,-0.904280982542907,-0.856407568083182,0.367326601969654,-0.59091236730028,0.775490175718578,-0.311916992286577,2.40259451239124,1.27463932667814,0.89,0
15781,27219.0,-25.2663550194138,14.3232538097233,-26.8236729135114,6.34924780743689,-18.664250613469,-4.64740304866878,-17.9712120192706,16.6331030618556,-3.76835097141465,-8.303239351259,4.78325736701241,-6.6992520739678,0.846767864669643,-6.57627643636006,-0.0623303798952992,-5.96165987257541,-12.2184817176797,-4.79184198325342,0.894853521838799,1.65828884445902,1.78070097046593,-1.86131814726914,-1.18816729293127,0.156667050663465,1.76819198236914,-0.219916008250323,1.41185477685432,0.414656383638367,99.99,1
86155,61108.0,-2.7560071191969,0.68382137690334,-1.39016888269883,1.50188726081003,-1.165614355805,-0.13120694925796,-1.47874061646082,-0.246921578045176,-0.100522731731488,-2.30110989675506,1.91445404493049,-3.8309980112302,0.719488566785256,-6.35301985790071,1.43871619241123,-3.29723907467834,-4.86297149937169,-2.00235399924327,1.54523326964355,-0.106944639579729,0.320473875601072,0.61102668559867,0.174863684107414,-0.502151101117601,-0.174712784335661,1.17924208342707,-1.16631532833921,0.821214803121569,101.5,1
144104,85864.0,-3.36526491864606,2.92854110729003,-5.66099919906905,3.89115992835328,-1.84037510965314,-1.80088720390662,-5.55867935318221,2.40232168278639,-2.84892272106495,-5.99567612703198,4.22130410784879,-6.11966735264192,0.0230135705891201,-8.14932178394224,-0.301351931335019,-5.37528289323615,-9.31500138499105,-2.48756256913711,2.35591891159776,0.57637946532203,0.875260063301294,-0.102501391250503,-0.606282749133978,-0.743164794295893,0.096318936065612,-0.135060497401362,1.23869473001415,0.0998237563444676,1.0,1
34261,37586.0,-1.05843204545067,-0.789890878594433,2.15145164876824,-2.49945536518446,-0.0930063849727148,-0.719497453592761,-0.0250540916196177,0.0994786926644374,1.50775980959733,-1.51478464749623,0.594772220094311,0.140907010074334,-1.70941307481825,-0.054381580374746,0.154958122203382,0.104136038975438,-0.755650893314477,0.941687153041163,0.466053854384605,0.159306938521968,0.10151360856122,0.222851380444004,-0.0825703735115312,-0.0107402249823391,0.0771996926841253,-0.214315540453796,-0.122341425273951,-0.123410345344091,60.9,0
145058,86601.0,-0.778719515383128,0.910613672743414,1.84207706194283,-0.951769101693134,0.99236491883428,1.11414019865102,0.513998204207426,-0.990518524199414,0.110865287965794,-0.28936155943072,0.377907665634301,0.915084324118988,1.25341281360461,-0.653643007453863,0.001153981148599,0.200165352430159,-1.17072151706249,0.639900143794572,1.06543260943736,0.078665389045707,0.497306744114303,-0.669079735109479,-0.303239803361839,-0.164980189574567,0.409990118626934,-0.482028017634717,-0.346996384664328,-0.379737124309748,0.12,0
43979,41726.0,-0.914556495137445,0.138421382530702,0.701908538400578,-0.0477604297777263,1.5727922550891,0.962325388457855,0.716163315382594,0.31117568996697,-0.393562034508122,-0.64450583107509,-0.626836739231879,0.493743937250287,0.196679712053046,0.0118290902590918,-1.36718837559844,0.129372841865821,-0.897084533947103,0.199105462428667,-0.0137591388645889,0.147794465719584,0.0346758659755889,-0.0232157776859339,-0.137428402928544,-1.70838001660261,0.26430727778984,-0.431759096911027,0.0957715454818927,0.121886105678207,87.9,0
46238,42695.0,-0.351717129552783,-2.74660656854746,-0.149794173369129,0.652755459236544,-1.25702708543226,0.773927482919665,0.380105498948724,0.163706227626416,0.36506773563624,-0.499144180461089,1.55155041880912,0.941089772319623,-0.465474328393246,0.386887499740896,0.428780394861883,-0.139301340018916,0.230236049448502,-0.636440052721474,-0.554269044721399,1.39022034828697,0.491989545768316,-0.168927226406094,-0.612705362231658,-0.18471526820869,-0.210099715081674,0.9764855227621,-0.175643794217549,0.12292208452015,768.09,0
190586,128892.0,-2.94468644872583,-2.63941706694963,-3.01902142147614,-1.27327926982988,2.43833404383462,0.452924773155936,1.96202992617402,-0.929174113861184,-0.420471148348431,2.40728731031228,0.712710406537751,-0.182011634352608,-0.205090166113713,-0.0400573658650896,-0.45961359638696,-2.64877116807281,-0.172533950166231,0.025089518431402,-1.26911088049114,-1.92684954917102,-0.489922845393721,1.46888483859512,1.03254712057376,-0.850604969295334,-1.08141412314833,0.692904393786759,-0.785483862591126,1.80080187606551,174.99,0
